number,generation,index_within_generation,parent,r_coord,theta_coord,weight
7,5,2,6993,2.43,0.0,0.01
8,7,3,7992,7.63,0.0,0.01
9,5,3,8991,1.79,0.0,0.01
10,6,1,999,0.75,5.0,0.01
11,5,4,1089,0.87,0.0,0.01
12,4,0,2088,1.95,0.0,0.01
13,4,1,3087,23.91,0.0,0.01
14,8,0,4086,4.3500000000000005,0.0,0.01
15,8,1,5085,4.83,0.0,0.01
16,8,2,6084,4.83,0.0,0.01
17,4,2,7083,4.3500000000000005,0.0,0.01
18,4,3,8082,19.47,0.0,0.01
19,5,5,9081,1.95,0.0,0.01
20,5,6,1998,14.35,2.25,0.01
21,4,4,2088,1.95,1.875,0.01
22,7,4,2178,0.51,0.0,0.01
23,6,2,3177,1.71,0.0,0.01
24,3,0,4176,36.99,0.0,0.01
25,8,3,5175,3.63,0.0,0.01
26,2,0,6174,99.92,0.0,0.01
27,6,3,7173,13.47,0.0,0.01
28,7,5,8172,13.950000000000001,0.0,0.01
29,4,5,9171,1.71,0.0,0.01
30,7,6,2997,2.27,1.6071428571428572,0.01
31,4,6,3087,23.91,1.0714285714285714,0.01
32,6,4,3177,1.71,2.142857142857143,0.01
33,7,7,3267,0.45,0.0,0.01
34,4,7,4266,1.47,0.0,0.01
35,6,5,5265,5.91,0.0,0.01
36,4,8,6264,29.79,0.0,0.01
37,7,8,7263,2.91,0.0,0.01
38,6,6,8262,2.43,0.0,0.01
39,4,9,9261,1.47,0.0,0.01
40,5,7,3996,24.51,1.3636363636363635,0.01
41,8,4,4086,4.3500000000000005,0.8333333333333334,0.01
42,3,1,4176,36.99,1.25,0.01
43,4,10,4266,1.47,2.5,0.01
44,5,8,4356,0.39,0.0,0.01
45,6,7,5355,11.790000000000001,0.0,0.01
46,5,9,6354,19.95,0.0,0.01
47,4,11,7353,2.19,0.0,0.01
48,3,2,8352,34.89,0.0,0.01
49,8,5,9351,1.23,0.0,0.01
50,7,9,4995,2.83,1.2857142857142858,0.01
51,8,6,5085,4.83,0.75,0.01
52,8,7,5175,3.63,1.0,0.01
53,6,8,5265,5.91,1.5,0.01
54,6,9,5355,11.790000000000001,3.0,0.01
55,6,10,5445,0.33,0.0,0.01
56,6,11,6444,0.99,0.0,0.01
57,6,12,7443,15.99,0.0,0.01
58,8,8,8442,1.47,0.0,0.01
59,8,9,9441,0.99,0.0,0.01
60,7,10,5994,7.79,1.3235294117647058,0.01
61,8,10,6084,4.83,0.75,0.01
62,2,1,6174,99.92,0.9375,0.01
63,4,12,6264,29.79,1.25,0.01
64,5,10,6354,19.95,1.875,0.01
65,6,13,6444,0.99,3.75,0.01
66,5,11,6534,0.27,0.0,0.01
67,4,13,7533,0.75,0.0,0.01
68,3,3,8532,24.27,0.0,0.01
69,8,11,9531,0.75,0.0,0.01
70,5,12,6993,2.43,1.5,0.01
71,4,14,7083,4.3500000000000005,0.8333333333333334,0.01
72,6,14,7173,13.47,1.0,0.01
73,7,11,7263,2.91,1.25,0.01
74,4,15,7353,2.19,1.6666666666666667,0.01
75,6,15,7443,15.99,2.5,0.01
76,4,16,7533,0.75,5.0,0.01
77,7,12,7623,0.21,0.0,0.01
78,6,16,8622,0.51,0.0,0.01
79,4,17,9621,3.33,0.0,0.01
80,7,13,7992,7.63,1.9565217391304348,0.01
81,4,18,8082,19.47,1.0714285714285714,0.01
82,7,14,8172,13.950000000000001,1.25,0.01
83,6,17,8262,2.43,1.5,0.01
84,3,4,8352,34.89,1.875,0.01
85,8,12,8442,1.47,2.5,0.01
86,3,5,8532,24.27,3.75,0.01
87,6,18,8622,0.51,7.5,0.01
88,7,15,8712,0.15,0.0,0.01
89,4,19,9711,0.27,0.0,0.01
90,5,13,8991,1.79,3.4615384615384617,0.01
91,5,14,9081,1.95,1.875,0.01
92,4,20,9171,1.71,2.142857142857143,0.01
93,4,21,9261,1.47,2.5,0.01
94,8,13,9351,1.23,3.0,0.01
95,8,14,9441,0.99,3.75,0.01
96,8,15,9531,0.75,5.0,0.01
97,4,22,9621,3.33,7.5,0.01
98,4,23,9711,0.27,15.0,0.01
99,5,15,9801,0.09,0.0,0.01
100,6,19,999,0.75,10.0,0.01
101,5,16,1089,0.87,6.666666666666667,0.01
102,4,24,2088,1.95,3.75,0.01
103,4,25,3087,23.91,2.142857142857143,0.01
104,8,16,4086,4.3500000000000005,1.6666666666666667,0.01
105,8,17,5085,4.83,1.5,0.01
106,8,18,6084,4.83,1.5,0.01
107,4,26,7083,4.3500000000000005,1.6666666666666667,0.01
108,4,27,8082,19.47,2.142857142857143,0.01
109,5,17,9081,1.95,3.75,0.01
110,5,18,1089,0.87,13.333333333333334,0.01
111,6,20,999,0.75,15.0,0.01
112,5,19,1998,14.35,4.5,0.01
113,7,16,2997,2.27,3.2142857142857144,0.01
114,5,20,3996,24.51,2.727272727272727,0.01
115,7,17,4995,2.83,2.5714285714285716,0.01
116,7,18,5994,7.79,2.6470588235294117,0.01
117,5,21,6993,2.43,3.0,0.01
118,7,19,7992,7.63,3.9130434782608696,0.01
119,5,22,8991,1.79,6.923076923076923,0.01
120,4,28,2088,1.95,5.625,0.01
121,5,23,1998,14.35,6.75,0.01
122,4,29,2088,1.95,7.5,0.01
123,4,30,3087,23.91,3.2142857142857144,0.01
124,8,19,4086,4.3500000000000005,2.5,0.01
125,8,20,5085,4.83,2.25,0.01
126,8,21,6084,4.83,2.25,0.01
127,4,31,7083,4.3500000000000005,2.5,0.01
128,4,32,8082,19.47,3.2142857142857144,0.01
129,5,24,9081,1.95,5.625,0.01
130,4,33,3087,23.91,4.285714285714286,0.01
131,7,20,2997,2.27,4.821428571428571,0.01
132,4,34,3087,23.91,5.357142857142857,0.01
133,6,21,3177,1.71,4.285714285714286,0.01
134,3,6,4176,36.99,2.5,0.01
135,8,22,5175,3.63,2.0,0.01
136,2,2,6174,99.92,1.875,0.01
137,6,22,7173,13.47,2.0,0.01
138,7,21,8172,13.950000000000001,2.5,0.01
139,4,35,9171,1.71,4.285714285714286,0.01
140,8,23,4086,4.3500000000000005,3.3333333333333335,0.01
141,5,25,3996,24.51,4.090909090909091,0.01
142,8,24,4086,4.3500000000000005,4.166666666666667,0.01
143,3,7,4176,36.99,3.75,0.01
144,4,36,4266,1.47,5.0,0.01
145,6,23,5265,5.91,3.0,0.01
146,4,37,6264,29.79,2.5,0.01
147,7,22,7263,2.91,2.5,0.01
148,6,24,8262,2.43,3.0,0.01
149,4,38,9261,1.47,5.0,0.01
150,8,25,5085,4.83,3.0,0.01
151,7,23,4995,2.83,3.857142857142857,0.01
152,8,26,5085,4.83,3.75,0.01
153,8,27,5175,3.63,3.0,0.01
154,6,25,5265,5.91,4.5,0.01
155,6,26,5355,11.790000000000001,6.0,0.01
156,5,26,6354,19.95,3.75,0.01
157,4,39,7353,2.19,3.3333333333333335,0.01
158,3,8,8352,34.89,3.75,0.01
159,8,28,9351,1.23,6.0,0.01
160,8,29,6084,4.83,3.0,0.01
161,7,24,5994,7.79,3.9705882352941178,0.01
162,8,30,6084,4.83,3.75,0.01
163,2,3,6174,99.92,2.8125,0.01
164,4,40,6264,29.79,3.75,0.01
165,5,27,6354,19.95,5.625,0.01
166,6,27,6444,0.99,7.5,0.01
167,6,28,7443,15.99,5.0,0.01
168,8,31,8442,1.47,5.0,0.01
169,8,32,9441,0.99,7.5,0.01
170,4,41,7083,4.3500000000000005,3.3333333333333335,0.01
171,5,28,6993,2.43,4.5,0.01
172,4,42,7083,4.3500000000000005,4.166666666666667,0.01
173,6,29,7173,13.47,3.0,0.01
174,7,25,7263,2.91,3.75,0.01
175,4,43,7353,2.19,5.0,0.01
176,6,30,7443,15.99,7.5,0.01
177,4,44,7533,0.75,10.0,0.01
178,3,9,8532,24.27,7.5,0.01
179,8,33,9531,0.75,10.0,0.01
180,4,45,8082,19.47,4.285714285714286,0.01
181,7,26,7992,7.63,5.869565217391305,0.01
182,4,46,8082,19.47,5.357142857142857,0.01
183,7,27,8172,13.950000000000001,3.75,0.01
184,6,31,8262,2.43,4.5,0.01
185,3,10,8352,34.89,5.625,0.01
186,8,34,8442,1.47,7.5,0.01
187,3,11,8532,24.27,11.25,0.01
188,6,32,8622,0.51,15.0,0.01
189,4,47,9621,3.33,15.0,0.01
190,5,29,9081,1.95,7.5,0.01
191,5,30,8991,1.79,10.384615384615385,0.01
192,5,31,9081,1.95,9.375,0.01
193,4,48,9171,1.71,6.428571428571429,0.01
194,4,49,9261,1.47,7.5,0.01
195,8,35,9351,1.23,9.0,0.01
196,8,36,9441,0.99,11.25,0.01
197,8,37,9531,0.75,15.0,0.01
198,4,50,9621,3.33,22.5,0.01
199,4,51,9711,0.27,30.0,0.01
200,5,32,1998,14.35,9.0,0.01
201,4,52,2088,1.95,9.375,0.01
202,7,28,2178,0.51,7.5,0.01
203,6,33,3177,1.71,6.428571428571429,0.01
204,3,12,4176,36.99,5.0,0.01
205,8,38,5175,3.63,4.0,0.01
206,2,4,6174,99.92,3.75,0.01
207,6,34,7173,13.47,4.0,0.01
208,7,29,8172,13.950000000000001,5.0,0.01
209,4,53,9171,1.71,8.571428571428571,0.01
210,4,54,2088,1.95,11.25,0.01
211,5,33,1998,14.35,11.25,0.01
212,4,55,2088,1.95,13.125,0.01
213,4,56,3087,23.91,6.428571428571429,0.01
214,8,39,4086,4.3500000000000005,5.0,0.01
215,8,40,5085,4.83,4.5,0.01
216,8,41,6084,4.83,4.5,0.01
217,4,57,7083,4.3500000000000005,5.0,0.01
218,4,58,8082,19.47,6.428571428571429,0.01
219,5,34,9081,1.95,11.25,0.01
220,7,30,2178,0.51,15.0,0.01
221,4,59,2088,1.95,15.0,0.01
222,5,35,1998,14.35,13.5,0.01
223,7,31,2997,2.27,6.428571428571429,0.01
224,5,36,3996,24.51,5.454545454545454,0.01
225,7,32,4995,2.83,5.142857142857143,0.01
226,7,33,5994,7.79,5.294117647058823,0.01
227,5,37,6993,2.43,6.0,0.01
228,7,34,7992,7.63,7.826086956521739,0.01
229,5,38,8991,1.79,13.846153846153847,0.01
230,6,35,3177,1.71,8.571428571428571,0.01
231,4,60,3087,23.91,7.5,0.01
232,7,35,2997,2.27,8.035714285714286,0.01
233,4,61,3087,23.91,8.571428571428571,0.01
234,8,42,4086,4.3500000000000005,5.833333333333333,0.01
235,8,43,5085,4.83,5.25,0.01
236,8,44,6084,4.83,5.25,0.01
237,4,62,7083,4.3500000000000005,5.833333333333333,0.01
238,4,63,8082,19.47,7.5,0.01
239,5,39,9081,1.95,13.125,0.01
240,3,13,4176,36.99,6.25,0.01
241,8,45,4086,4.3500000000000005,6.666666666666667,0.01
242,5,40,3996,24.51,6.818181818181818,0.01
243,8,46,4086,4.3500000000000005,7.5,0.01
244,3,14,4176,36.99,7.5,0.01
245,8,47,5175,3.63,5.0,0.01
246,2,5,6174,99.92,4.6875,0.01
247,6,36,7173,13.47,5.0,0.01
248,7,36,8172,13.950000000000001,6.25,0.01
249,4,64,9171,1.71,10.714285714285714,0.01
250,8,48,5175,3.63,6.0,0.01
251,8,49,5085,4.83,6.0,0.01
252,7,37,4995,2.83,6.428571428571429,0.01
253,8,50,5085,4.83,6.75,0.01
254,8,51,5175,3.63,7.0,0.01
255,6,37,5265,5.91,6.0,0.01
256,4,65,6264,29.79,5.0,0.01
257,7,38,7263,2.91,5.0,0.01
258,6,38,8262,2.43,6.0,0.01
259,4,66,9261,1.47,10.0,0.01
260,2,6,6174,99.92,5.625,0.01
261,8,52,6084,4.83,6.0,0.01
262,7,39,5994,7.79,6.617647058823529,0.01
263,8,53,6084,4.83,6.75,0.01
264,2,7,6174,99.92,6.5625,0.01
265,4,67,6264,29.79,6.25,0.01
266,5,41,6354,19.95,7.5,0.01
267,4,68,7353,2.19,6.666666666666667,0.01
268,3,15,8352,34.89,7.5,0.01
269,8,54,9351,1.23,12.0,0.01
270,6,39,7173,13.47,6.0,0.01
271,4,69,7083,4.3500000000000005,6.666666666666667,0.01
272,5,42,6993,2.43,7.5,0.01
273,4,70,7083,4.3500000000000005,7.5,0.01
274,6,40,7173,13.47,7.0,0.01
275,7,40,7263,2.91,6.25,0.01
276,4,71,7353,2.19,8.333333333333334,0.01
277,6,41,7443,15.99,10.0,0.01
278,8,55,8442,1.47,10.0,0.01
279,8,56,9441,0.99,15.0,0.01
280,7,41,8172,13.950000000000001,7.5,0.01
281,4,72,8082,19.47,8.571428571428571,0.01
282,7,42,7992,7.63,9.782608695652174,0.01
283,4,73,8082,19.47,9.642857142857142,0.01
284,7,43,8172,13.950000000000001,8.75,0.01
285,6,42,8262,2.43,7.5,0.01
286,3,16,8352,34.89,9.375,0.01
287,8,57,8442,1.47,12.5,0.01
288,3,17,8532,24.27,15.0,0.01
289,8,58,9531,0.75,20.0,0.01
290,4,74,9171,1.71,12.857142857142858,0.01
291,5,43,9081,1.95,15.0,0.01
292,5,44,8991,1.79,17.307692307692307,0.01
293,5,45,9081,1.95,16.875,0.01
294,4,75,9171,1.71,15.0,0.01
295,4,76,9261,1.47,12.5,0.01
296,8,59,9351,1.23,15.0,0.01
297,8,60,9441,0.99,18.75,0.01
298,8,61,9531,0.75,25.0,0.01
299,4,77,9621,3.33,30.0,0.01
300,7,44,2997,2.27,9.642857142857142,0.01
301,4,78,3087,23.91,9.642857142857142,0.01
302,6,43,3177,1.71,10.714285714285714,0.01
303,7,45,3267,0.45,8.571428571428571,0.01
304,4,79,4266,1.47,7.5,0.01
305,6,44,5265,5.91,7.5,0.01
306,4,80,6264,29.79,7.5,0.01
307,7,46,7263,2.91,7.5,0.01
308,6,45,8262,2.43,9.0,0.01
309,4,81,9261,1.47,15.0,0.01
310,4,82,3087,23.91,10.714285714285714,0.01
311,7,47,2997,2.27,11.25,0.01
312,4,83,3087,23.91,11.785714285714286,0.01
313,6,46,3177,1.71,12.857142857142858,0.01
314,3,18,4176,36.99,8.75,0.01
315,8,62,5175,3.63,8.0,0.01
316,2,8,6174,99.92,7.5,0.01
317,6,47,7173,13.47,8.0,0.01
318,7,48,8172,13.950000000000001,10.0,0.01
319,4,84,9171,1.71,17.142857142857142,0.01
320,6,48,3177,1.71,15.0,0.01
321,4,85,3087,23.91,12.857142857142858,0.01
322,7,49,2997,2.27,12.857142857142858,0.01
323,4,86,3087,23.91,13.928571428571429,0.01
324,8,63,4086,4.3500000000000005,8.333333333333334,0.01
325,8,64,5085,4.83,7.5,0.01
326,8,65,6084,4.83,7.5,0.01
327,4,87,7083,4.3500000000000005,8.333333333333334,0.01
328,4,88,8082,19.47,10.714285714285714,0.01
329,5,46,9081,1.95,18.75,0.01
330,7,50,3267,0.45,17.142857142857142,0.01
331,6,49,3177,1.71,17.142857142857142,0.01
332,4,89,3087,23.91,15.0,0.01
333,7,51,2997,2.27,14.464285714285714,0.01
334,5,47,3996,24.51,8.181818181818182,0.01
335,7,52,4995,2.83,7.714285714285714,0.01
336,7,53,5994,7.79,7.9411764705882355,0.01
337,5,48,6993,2.43,9.0,0.01
338,7,54,7992,7.63,11.73913043478261,0.01
339,5,49,8991,1.79,20.76923076923077,0.01
340,4,90,4266,1.47,10.0,0.01
341,3,19,4176,36.99,10.0,0.01
342,8,66,4086,4.3500000000000005,9.166666666666666,0.01
343,5,50,3996,24.51,9.545454545454545,0.01
344,8,67,4086,4.3500000000000005,10.0,0.01
345,8,68,5085,4.83,8.25,0.01
346,8,69,6084,4.83,8.25,0.01
347,4,91,7083,4.3500000000000005,9.166666666666666,0.01
348,4,92,8082,19.47,11.785714285714286,0.01
349,5,51,9081,1.95,20.625,0.01
350,6,50,5265,5.91,9.0,0.01
351,8,70,5175,3.63,9.0,0.01
352,8,71,5085,4.83,9.0,0.01
353,7,55,4995,2.83,9.0,0.01
354,8,72,5085,4.83,9.75,0.01
355,8,73,5175,3.63,10.0,0.01
356,2,9,6174,99.92,8.4375,0.01
357,6,51,7173,13.47,9.0,0.01
358,7,56,8172,13.950000000000001,11.25,0.01
359,4,93,9171,1.71,19.285714285714285,0.01
360,4,94,6264,29.79,8.75,0.01
361,2,10,6174,99.92,9.375,0.01
362,8,74,6084,4.83,9.0,0.01
363,7,57,5994,7.79,9.264705882352942,0.01
364,8,75,6084,4.83,9.75,0.01
365,2,11,6174,99.92,10.3125,0.01
366,4,95,6264,29.79,10.0,0.01
367,7,58,7263,2.91,8.75,0.01
368,6,52,8262,2.43,10.5,0.01
369,4,96,9261,1.47,17.5,0.01
370,7,59,7263,2.91,10.0,0.01
371,6,53,7173,13.47,10.0,0.01
372,4,97,7083,4.3500000000000005,10.0,0.01
373,5,52,6993,2.43,10.5,0.01
374,4,98,7083,4.3500000000000005,10.833333333333334,0.01
375,6,54,7173,13.47,11.0,0.01
376,7,60,7263,2.91,11.25,0.01
377,4,99,7353,2.19,10.0,0.01
378,3,20,8352,34.89,11.25,0.01
379,8,76,9351,1.23,18.0,0.01
380,6,55,8262,2.43,12.0,0.01
381,7,61,8172,13.950000000000001,12.5,0.01
382,4,100,8082,19.47,12.857142857142858,0.01
383,7,62,7992,7.63,13.695652173913043,0.01
384,4,101,8082,19.47,13.928571428571429,0.01
385,7,63,8172,13.950000000000001,13.75,0.01
386,6,56,8262,2.43,13.5,0.01
387,3,21,8352,34.89,13.125,0.01
388,8,77,8442,1.47,15.0,0.01
389,8,78,9441,0.99,22.5,0.01
390,4,102,9261,1.47,20.0,0.01
391,4,103,9171,1.71,21.428571428571427,0.01
392,5,53,9081,1.95,22.5,0.01
393,5,54,8991,1.79,24.23076923076923,0.01
394,5,55,9081,1.95,24.375,0.01
395,4,104,9171,1.71,23.571428571428573,0.01
396,4,105,9261,1.47,22.5,0.01
397,8,79,9351,1.23,21.0,0.01
398,8,80,9441,0.99,26.25,0.01
399,8,81,9531,0.75,30.0,0.01
400,5,56,3996,24.51,10.909090909090908,0.01
401,8,82,4086,4.3500000000000005,10.833333333333334,0.01
402,3,22,4176,36.99,11.25,0.01
403,4,106,4266,1.47,12.5,0.01
404,5,57,4356,0.39,10.0,0.01
405,6,57,5355,11.790000000000001,9.0,0.01
406,5,58,6354,19.95,9.375,0.01
407,4,107,7353,2.19,11.666666666666666,0.01
408,3,23,8352,34.89,15.0,0.01
409,8,83,9351,1.23,24.0,0.01
410,8,84,4086,4.3500000000000005,11.666666666666666,0.01
411,5,59,3996,24.51,12.272727272727273,0.01
412,8,85,4086,4.3500000000000005,12.5,0.01
413,3,24,4176,36.99,12.5,0.01
414,4,108,4266,1.47,15.0,0.01
415,6,58,5265,5.91,10.5,0.01
416,4,109,6264,29.79,11.25,0.01
417,7,64,7263,2.91,12.5,0.01
418,6,59,8262,2.43,15.0,0.01
419,4,110,9261,1.47,25.0,0.01
420,3,25,4176,36.99,13.75,0.01
421,8,86,4086,4.3500000000000005,13.333333333333334,0.01
422,5,60,3996,24.51,13.636363636363637,0.01
423,8,87,4086,4.3500000000000005,14.166666666666666,0.01
424,3,26,4176,36.99,15.0,0.01
425,8,88,5175,3.63,11.0,0.01
426,2,12,6174,99.92,11.25,0.01
427,6,60,7173,13.47,12.0,0.01
428,7,65,8172,13.950000000000001,15.0,0.01
429,4,111,9171,1.71,25.714285714285715,0.01
430,4,112,4266,1.47,17.5,0.01
431,3,27,4176,36.99,16.25,0.01
432,8,89,4086,4.3500000000000005,15.0,0.01
433,5,61,3996,24.51,15.0,0.01
434,8,90,4086,4.3500000000000005,15.833333333333334,0.01
435,8,91,5085,4.83,10.5,0.01
436,8,92,6084,4.83,10.5,0.01
437,4,113,7083,4.3500000000000005,11.666666666666666,0.01
438,4,114,8082,19.47,15.0,0.01
439,5,62,9081,1.95,26.25,0.01
440,5,63,4356,0.39,20.0,0.01
441,4,115,4266,1.47,20.0,0.01
442,3,28,4176,36.99,17.5,0.01
443,8,93,4086,4.3500000000000005,16.666666666666668,0.01
444,5,64,3996,24.51,16.363636363636363,0.01
445,7,66,4995,2.83,10.285714285714286,0.01
446,7,67,5994,7.79,10.588235294117647,0.01
447,5,65,6993,2.43,12.0,0.01
448,7,68,7992,7.63,15.652173913043478,0.01
449,5,66,8991,1.79,27.692307692307693,0.01
450,6,61,5355,11.790000000000001,12.0,0.01
451,6,62,5265,5.91,12.0,0.01
452,8,94,5175,3.63,12.0,0.01
453,8,95,5085,4.83,11.25,0.01
454,7,69,4995,2.83,11.571428571428571,0.01
455,8,96,5085,4.83,12.0,0.01
456,8,97,6084,4.83,11.25,0.01
457,4,116,7083,4.3500000000000005,12.5,0.01
458,4,117,8082,19.47,16.071428571428573,0.01
459,5,67,9081,1.95,28.125,0.01
460,5,68,6354,19.95,11.25,0.01
461,4,118,6264,29.79,12.5,0.01
462,2,13,6174,99.92,12.1875,0.01
463,8,98,6084,4.83,12.0,0.01
464,7,70,5994,7.79,11.911764705882353,0.01
465,8,99,6084,4.83,12.75,0.01
466,2,14,6174,99.92,13.125,0.01
467,6,63,7173,13.47,13.0,0.01
468,7,71,8172,13.950000000000001,16.25,0.01
469,4,119,9171,1.71,27.857142857142858,0.01
470,4,120,7353,2.19,13.333333333333334,0.01
471,7,72,7263,2.91,13.75,0.01
472,6,64,7173,13.47,14.0,0.01
473,4,121,7083,4.3500000000000005,13.333333333333334,0.01
474,5,69,6993,2.43,13.5,0.01
475,4,122,7083,4.3500000000000005,14.166666666666666,0.01
476,6,65,7173,13.47,15.0,0.01
477,7,73,7263,2.91,15.0,0.01
478,6,66,8262,2.43,16.5,0.01
479,4,123,9261,1.47,27.5,0.01
480,3,29,8352,34.89,16.875,0.01
481,6,67,8262,2.43,18.0,0.01
482,7,74,8172,13.950000000000001,17.5,0.01
483,4,124,8082,19.47,17.142857142857142,0.01
484,7,75,7992,7.63,17.608695652173914,0.01
485,4,125,8082,19.47,18.214285714285715,0.01
486,7,76,8172,13.950000000000001,18.75,0.01
487,6,68,8262,2.43,19.5,0.01
488,3,30,8352,34.89,18.75,0.01
489,8,100,9351,1.23,27.0,0.01
490,8,101,9351,1.23,30.0,0.01
491,4,126,9261,1.47,30.0,0.01
492,4,127,9171,1.71,30.0,0.01
493,5,70,9081,1.95,30.0,0.01
494,5,71,8991,1.79,31.153846153846153,0.01
495,5,72,9081,1.95,31.875,0.01
496,4,128,9171,1.71,32.142857142857146,0.01
497,4,129,9261,1.47,32.5,0.01
498,8,102,9351,1.23,33.0,0.01
499,8,103,9441,0.99,30.0,0.01
500,7,77,4995,2.83,12.857142857142858,0.01
501,8,104,5085,4.83,12.75,0.01
502,8,105,5175,3.63,13.0,0.01
503,6,69,5265,5.91,13.5,0.01
504,6,70,5355,11.790000000000001,15.0,0.01
505,6,71,5445,0.33,12.0,0.01
506,6,72,6444,0.99,11.25,0.01
507,6,73,7443,15.99,12.5,0.01
508,8,106,8442,1.47,17.5,0.01
509,8,107,9441,0.99,33.75,0.01
510,8,108,5085,4.83,13.5,0.01
511,7,78,4995,2.83,14.142857142857142,0.01
512,8,109,5085,4.83,14.25,0.01
513,8,110,5175,3.63,14.0,0.01
514,6,74,5265,5.91,15.0,0.01
515,6,75,5355,11.790000000000001,18.0,0.01
516,5,73,6354,19.95,13.125,0.01
517,4,130,7353,2.19,15.0,0.01
518,3,31,8352,34.89,20.625,0.01
519,8,111,9351,1.23,36.0,0.01
520,8,112,5175,3.63,15.0,0.01
521,8,113,5085,4.83,15.0,0.01
522,7,79,4995,2.83,15.428571428571429,0.01
523,8,114,5085,4.83,15.75,0.01
524,8,115,5175,3.63,16.0,0.01
525,6,76,5265,5.91,16.5,0.01
526,4,131,6264,29.79,13.75,0.01
527,7,80,7263,2.91,16.25,0.01
528,6,77,8262,2.43,21.0,0.01
529,4,132,9261,1.47,35.0,0.01
530,6,78,5265,5.91,18.0,0.01
531,8,116,5175,3.63,17.0,0.01
532,8,117,5085,4.83,16.5,0.01
533,7,81,4995,2.83,16.714285714285715,0.01
534,8,118,5085,4.83,17.25,0.01
535,8,119,5175,3.63,18.0,0.01
536,2,15,6174,99.92,14.0625,0.01
537,6,79,7173,13.47,16.0,0.01
538,7,82,8172,13.950000000000001,20.0,0.01
539,4,133,9171,1.71,34.285714285714285,0.01
540,6,80,5355,11.790000000000001,21.0,0.01
541,6,81,5265,5.91,19.5,0.01
542,8,120,5175,3.63,19.0,0.01
543,8,121,5085,4.83,18.0,0.01
544,7,83,4995,2.83,18.0,0.01
545,8,122,5085,4.83,18.75,0.01
546,8,123,6084,4.83,13.5,0.01
547,4,134,7083,4.3500000000000005,15.0,0.01
548,4,135,8082,19.47,19.285714285714285,0.01
549,5,74,9081,1.95,33.75,0.01
550,6,82,5445,0.33,24.0,0.01
551,6,83,5355,11.790000000000001,24.0,0.01
552,6,84,5265,5.91,21.0,0.01
553,8,124,5175,3.63,20.0,0.01
554,8,125,5085,4.83,19.5,0.01
555,7,84,4995,2.83,19.285714285714285,0.01
556,7,85,5994,7.79,13.235294117647058,0.01
557,5,75,6993,2.43,15.0,0.01
558,7,86,7992,7.63,19.565217391304348,0.01
